UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result,SelectionTime
1,2025-06-21 02:39:29.394,SSVEP_Task1,1,1,30,2,False,3
1,2025-06-21 02:39:37.894,SSVEP_Task1,1,2,30,2,False,3
1,2025-06-21 02:39:46.293,SSVEP_Task1,1,3,30,2,False,3
1,2025-06-21 02:39:54.694,SSVEP_Task1,1,4,30,2,False,3
1,2025-06-21 02:40:03.227,SSVEP_Task1,1,5,30,2,False,3
1,2025-06-21 02:40:11.527,SSVEP_Task1,1,6,30,2,False,3
1,2025-06-21 02:40:19.630,SSVEP_Task1,1,7,30,2,False,3
1,2025-06-21 02:40:27.713,SSVEP_Task1,1,8,30,2,False,3
1,2025-06-21 02:40:35.766,SSVEP_Task1,1,9,30,2,False,3
1,2025-06-21 02:40:43.834,SSVEP_Task1,1,10,30,2,False,3
1,2025-06-21 02:40:51.903,SSVEP_Task1,1,11,30,2,False,3
1,2025-06-21 02:41:05.206,SSVEP_Task1,2,1,40,2,False,3
1,2025-06-21 02:41:13.272,SSVEP_Task1,2,2,40,2,False,3
1,2025-06-21 02:41:21.338,SSVEP_Task1,2,3,40,2,False,3
1,2025-06-21 02:41:29.403,SSVEP_Task1,2,4,40,2,False,3
1,2025-06-21 02:41:37.468,SSVEP_Task1,2,5,40,2,False,3
1,2025-06-21 02:41:45.531,SSVEP_Task1,2,6,40,2,False,3
1,2025-06-21 02:41:53.597,SSVEP_Task1,2,7,40,2,False,3
1,2025-06-21 02:42:01.678,SSVEP_Task1,2,8,40,2,False,3
1,2025-06-21 02:42:09.759,SSVEP_Task1,2,9,40,2,False,3
1,2025-06-21 02:42:17.841,SSVEP_Task1,2,10,40,2,False,3
1,2025-06-21 02:42:25.905,SSVEP_Task1,2,11,40,2,False,3
1,2025-06-21 02:42:44.468,SSVEP_Task1,1,1,30,1.5,False,3
1,2025-06-21 02:42:52.599,SSVEP_Task1,1,2,30,1.5,False,3
1,2025-06-21 02:43:00.713,SSVEP_Task1,1,3,30,1.5,False,3
1,2025-06-21 02:43:08.810,SSVEP_Task1,1,4,30,1.5,False,3
1,2025-06-21 02:43:16.909,SSVEP_Task1,1,5,30,1.5,False,3
1,2025-06-21 02:43:25.006,SSVEP_Task1,1,6,30,1.5,False,3
1,2025-06-21 02:43:33.122,SSVEP_Task1,1,7,30,1.5,False,3
1,2025-06-21 02:43:41.219,SSVEP_Task1,1,8,30,1.5,False,3
1,2025-06-21 02:43:49.334,SSVEP_Task1,1,9,30,1.5,True,3
1,2025-06-21 02:43:57.433,SSVEP_Task1,1,10,30,1.5,False,3
1,2025-06-21 02:44:05.530,SSVEP_Task1,1,11,30,1.5,False,3
1,2025-06-21 02:48:56.709,SSVEP_Task1,2,1,20,1.5,False,3
1,2025-06-21 02:49:04.839,SSVEP_Task1,2,2,20,1.5,False,3
1,2025-06-21 02:49:12.955,SSVEP_Task1,2,3,20,1.5,False,3
1,2025-06-21 02:49:21.087,SSVEP_Task1,2,4,20,1.5,False,3
1,2025-06-21 02:49:29.200,SSVEP_Task1,2,5,20,1.5,False,3
1,2025-06-21 02:49:37.332,SSVEP_Task1,2,6,20,1.5,False,3
1,2025-06-21 02:49:45.446,SSVEP_Task1,2,7,20,1.5,False,3
1,2025-06-21 02:49:53.545,SSVEP_Task1,2,8,20,1.5,True,3
1,2025-06-21 02:50:01.659,SSVEP_Task1,2,9,20,1.5,False,3
1,2025-06-21 02:50:09.773,SSVEP_Task1,2,10,20,1.5,False,3
1,2025-06-21 02:50:17.888,SSVEP_Task1,2,11,20,1.5,True,3
1,2025-06-21 02:51:34.153,SSVEP_Task1,3,1,30,1,False,3
1,2025-06-21 02:51:42.285,SSVEP_Task1,3,2,30,1,False,3
1,2025-06-21 02:51:50.432,SSVEP_Task1,3,3,30,1,False,3
1,2025-06-21 02:51:58.547,SSVEP_Task1,3,4,30,1,False,3
1,2025-06-21 02:52:06.663,SSVEP_Task1,3,5,30,1,False,3
1,2025-06-21 02:52:14.778,SSVEP_Task1,3,6,30,1,False,3
1,2025-06-21 02:52:22.892,SSVEP_Task1,3,7,30,1,False,3
1,2025-06-21 02:52:31.006,SSVEP_Task1,3,8,30,1,False,3
1,2025-06-21 02:52:39.121,SSVEP_Task1,3,9,30,1,False,3
1,2025-06-21 02:52:47.219,SSVEP_Task1,3,10,30,1,False,3
1,2025-06-21 02:52:55.367,SSVEP_Task1,3,11,30,1,False,3
1,2025-06-21 02:53:05.282,SSVEP_Task1,4,1,30,2,False,3
1,2025-06-21 02:53:13.428,SSVEP_Task1,4,2,30,2,False,3
1,2025-06-21 02:53:21.560,SSVEP_Task1,4,3,30,2,False,3
1,2025-06-21 02:53:29.725,SSVEP_Task1,4,4,30,2,False,3
1,2025-06-21 02:53:37.856,SSVEP_Task1,4,5,30,2,False,3
1,2025-06-21 02:53:45.954,SSVEP_Task1,4,6,30,2,False,3
1,2025-06-21 02:53:54.086,SSVEP_Task1,4,7,30,2,False,3
1,2025-06-21 02:54:02.217,SSVEP_Task1,4,8,30,2,True,3
1,2025-06-21 02:54:10.315,SSVEP_Task1,4,9,30,2,False,3
1,2025-06-21 02:54:18.446,SSVEP_Task1,4,10,30,2,False,3
1,2025-06-21 02:54:26.577,SSVEP_Task1,4,11,30,2,False,3
1,2025-06-21 02:55:15.682,SSVEP_Task1,5,1,40,1.5,False,3
1,2025-06-21 02:55:23.814,SSVEP_Task1,5,2,40,1.5,False,3
1,2025-06-21 02:55:31.962,SSVEP_Task1,5,3,40,1.5,False,3
1,2025-06-21 02:55:40.076,SSVEP_Task1,5,4,40,1.5,False,3
1,2025-06-21 02:55:48.207,SSVEP_Task1,5,5,40,1.5,False,3
1,2025-06-21 02:55:56.306,SSVEP_Task1,5,6,40,1.5,False,3
1,2025-06-21 02:56:04.437,SSVEP_Task1,5,7,40,1.5,False,3
1,2025-06-21 02:56:12.569,SSVEP_Task1,5,8,40,1.5,False,3
1,2025-06-21 02:56:20.681,SSVEP_Task1,5,9,40,1.5,False,3
1,2025-06-21 02:56:28.791,SSVEP_Task1,5,10,40,1.5,False,3
1,2025-06-21 02:56:36.902,SSVEP_Task1,5,11,40,1.5,False,3
1,2025-06-21 02:56:57.639,SSVEP_Task1,6,1,40,1,False,3
1,2025-06-21 02:57:05.767,SSVEP_Task1,6,2,40,1,False,3
1,2025-06-21 02:57:13.896,SSVEP_Task1,6,3,40,1,False,3
1,2025-06-21 02:57:22.006,SSVEP_Task1,6,4,40,1,False,3
1,2025-06-21 02:57:30.083,SSVEP_Task1,6,5,40,1,False,3
1,2025-06-21 02:57:38.195,SSVEP_Task1,6,6,40,1,False,3
1,2025-06-21 02:57:46.339,SSVEP_Task1,6,7,40,1,False,3
1,2025-06-21 02:57:54.450,SSVEP_Task1,6,8,40,1,False,3
1,2025-06-21 02:58:02.544,SSVEP_Task1,6,9,40,1,False,3
1,2025-06-21 02:58:10.655,SSVEP_Task1,6,10,40,1,False,3
1,2025-06-21 02:58:18.766,SSVEP_Task1,6,11,40,1,False,3
