UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result,SelectionTime
1,2025-06-25 17:56:44.071,SSVEP_Task1,1,1,30,2,True,3
1,2025-06-25 17:56:54.503,SSVEP_Task1,1,2,30,2,True,3
1,2025-06-25 17:57:04.971,SSVEP_Task1,1,3,30,2,True,3
1,2025-06-25 17:57:15.639,SSVEP_Task1,1,4,30,2,True,3
1,2025-06-25 17:57:25.589,SSVEP_Task1,1,5,30,2,True,3
1,2025-06-25 17:57:35.533,SSVEP_Task1,1,6,30,2,True,3
1,2025-06-25 17:57:45.509,SSVEP_Task1,1,7,30,2,True,3
1,2025-06-25 17:57:55.452,SSVEP_Task1,1,8,30,2,True,3
1,2025-06-25 17:58:05.413,SSVEP_Task1,1,9,30,2,True,3
1,2025-06-25 17:58:15.357,SSVEP_Task1,1,10,30,2,True,3
1,2025-06-25 17:58:25.308,SSVEP_Task1,1,11,30,2,True,3
1,2025-06-25 17:59:09.724,SSVEP_Task1,2,1,20,1,True,3
1,2025-06-25 17:59:19.690,SSVEP_Task1,2,2,20,1,True,3
1,2025-06-25 17:59:29.637,SSVEP_Task1,2,3,20,1,True,3
1,2025-06-25 17:59:39.594,SSVEP_Task1,2,4,20,1,True,3
1,2025-06-25 17:59:49.556,SSVEP_Task1,2,5,20,1,True,3
1,2025-06-25 17:59:59.528,SSVEP_Task1,2,6,20,1,True,3
1,2025-06-25 18:00:09.490,SSVEP_Task1,2,7,20,1,False,3
1,2025-06-25 18:00:19.447,SSVEP_Task1,2,8,20,1,True,3
1,2025-06-25 18:00:29.406,SSVEP_Task1,2,9,20,1,True,3
1,2025-06-25 18:00:39.384,SSVEP_Task1,2,10,20,1,True,3
1,2025-06-25 18:00:49.340,SSVEP_Task1,2,11,20,1,False,3
1,2025-06-25 18:01:05.579,SSVEP_Task1,1,1,40,1.5,True,3
1,2025-06-25 18:01:15.534,SSVEP_Task1,1,2,40,1.5,True,3
1,2025-06-25 18:01:25.502,SSVEP_Task1,1,3,40,1.5,True,3
