UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result,SelectionTime
1,2025-06-25 17:13:34.316,SSVEP_Task1,1,1,30,2,True,3
1,2025-06-25 17:14:03.848,SSVEP_Task1,1,3,30,2,True,3
1,2025-06-25 17:14:13.178,SSVEP_Task1,1,4,30,2,True,3
1,2025-06-25 17:14:23.450,SSVEP_Task1,1,5,30,2,True,3
1,2025-06-25 17:14:32.765,SSVEP_Task1,1,6,30,2,True,3
1,2025-06-25 17:14:42.453,SSVEP_Task1,1,7,30,2,True,3
1,2025-06-25 17:14:51.927,SSVEP_Task1,1,8,30,2,True,3
1,2025-06-25 17:15:00.977,SSVEP_Task1,1,9,30,2,True,3
1,2025-06-25 17:15:09.997,SSVEP_Task1,1,10,30,2,True,3
1,2025-06-25 17:15:19.035,SSVEP_Task1,1,11,30,2,True,3
1,2025-06-25 17:15:40.101,SSVEP_Task1,2,1,40,1.5,True,3
1,2025-06-25 17:15:49.128,SSVEP_Task1,2,2,40,1.5,True,3
1,2025-06-25 17:15:58.172,SSVEP_Task1,2,3,40,1.5,True,3
1,2025-06-25 17:16:07.185,SSVEP_Task1,2,4,40,1.5,True,3
1,2025-06-25 17:16:16.220,SSVEP_Task1,2,5,40,1.5,True,3
1,2025-06-25 17:16:25.225,SSVEP_Task1,2,6,40,1.5,True,3
1,2025-06-25 17:16:34.255,SSVEP_Task1,2,7,40,1.5,True,3
1,2025-06-25 17:16:43.252,SSVEP_Task1,2,8,40,1.5,True,3
1,2025-06-25 17:16:52.285,SSVEP_Task1,2,9,40,1.5,True,3
1,2025-06-25 17:17:01.306,SSVEP_Task1,2,10,40,1.5,True,3
1,2025-06-25 17:17:10.327,SSVEP_Task1,2,11,40,1.5,True,3
1,2025-06-25 17:17:26.972,SSVEP_Task1,1,1,20,1.5,True,3
1,2025-06-25 17:17:39.292,SSVEP_Task1,1,2,20,1.5,False,3
1,2025-06-25 17:17:48.339,SSVEP_Task1,1,3,20,1.5,False,3
1,2025-06-25 17:17:57.397,SSVEP_Task1,1,4,20,1.5,False,3
1,2025-06-25 17:18:06.457,SSVEP_Task1,1,5,20,1.5,True,3
1,2025-06-25 17:18:15.514,SSVEP_Task1,1,6,20,1.5,True,3
1,2025-06-25 17:18:24.548,SSVEP_Task1,1,7,20,1.5,False,3
1,2025-06-25 17:18:33.594,SSVEP_Task1,1,8,20,1.5,True,3
1,2025-06-25 17:18:42.644,SSVEP_Task1,1,9,20,1.5,False,3
1,2025-06-25 17:18:51.684,SSVEP_Task1,1,10,20,1.5,True,3
1,2025-06-25 17:19:00.741,SSVEP_Task1,1,11,20,1.5,False,3
1,2025-06-25 17:19:13.092,SSVEP_Task1,2,1,40,1,True,3
1,2025-06-25 17:19:22.156,SSVEP_Task1,2,2,40,1,False,3
1,2025-06-25 17:19:31.225,SSVEP_Task1,2,3,40,1,True,3
1,2025-06-25 17:19:40.276,SSVEP_Task1,2,4,40,1,False,3
1,2025-06-25 17:19:49.361,SSVEP_Task1,2,5,40,1,True,3
1,2025-06-25 17:19:58.417,SSVEP_Task1,2,6,40,1,False,3
1,2025-06-25 17:20:07.471,SSVEP_Task1,2,7,40,1,False,3
1,2025-06-25 17:20:16.519,SSVEP_Task1,2,8,40,1,False,3
1,2025-06-25 17:20:25.560,SSVEP_Task1,2,9,40,1,False,3
1,2025-06-25 17:20:34.625,SSVEP_Task1,2,10,40,1,False,3
1,2025-06-25 17:20:43.695,SSVEP_Task1,2,11,40,1,True,3
1,2025-06-25 17:20:57.295,SSVEP_Task1,3,1,30,1.5,False,3
1,2025-06-25 17:21:06.338,SSVEP_Task1,3,2,30,1.5,False,3
1,2025-06-25 17:21:15.383,SSVEP_Task1,3,3,30,1.5,True,3
1,2025-06-25 17:21:24.425,SSVEP_Task1,3,4,30,1.5,True,3
1,2025-06-25 17:21:33.474,SSVEP_Task1,3,5,30,1.5,True,3
1,2025-06-25 17:21:42.547,SSVEP_Task1,3,6,30,1.5,False,3
1,2025-06-25 17:21:51.611,SSVEP_Task1,3,7,30,1.5,False,3
1,2025-06-25 17:22:00.634,SSVEP_Task1,3,8,30,1.5,False,3
1,2025-06-25 17:22:09.689,SSVEP_Task1,3,9,30,1.5,False,3
1,2025-06-25 17:22:18.733,SSVEP_Task1,3,10,30,1.5,False,3
1,2025-06-25 17:22:27.788,SSVEP_Task1,3,11,30,1.5,False,3
1,2025-06-25 17:22:41.011,SSVEP_Task1,4,1,20,2,False,3
1,2025-06-25 17:22:50.039,SSVEP_Task1,4,2,20,2,True,3
1,2025-06-25 17:22:59.123,SSVEP_Task1,4,3,20,2,True,3
1,2025-06-25 17:23:08.203,SSVEP_Task1,4,4,20,2,False,3
1,2025-06-25 17:23:17.263,SSVEP_Task1,4,5,20,2,False,3
1,2025-06-25 17:23:26.334,SSVEP_Task1,4,6,20,2,True,3
1,2025-06-25 17:23:35.378,SSVEP_Task1,4,7,20,2,True,3
1,2025-06-25 17:23:44.425,SSVEP_Task1,4,8,20,2,False,3
1,2025-06-25 17:23:53.466,SSVEP_Task1,4,9,20,2,True,3
1,2025-06-25 17:24:02.529,SSVEP_Task1,4,10,20,2,False,3
1,2025-06-25 17:24:11.586,SSVEP_Task1,4,11,20,2,False,3
1,2025-06-25 17:24:24.885,SSVEP_Task1,5,1,20,1,False,3
1,2025-06-25 17:24:33.963,SSVEP_Task1,5,2,20,1,False,3
1,2025-06-25 17:24:43.012,SSVEP_Task1,5,3,20,1,True,3
1,2025-06-25 17:24:52.081,SSVEP_Task1,5,4,20,1,False,3
1,2025-06-25 17:25:01.124,SSVEP_Task1,5,5,20,1,False,3
1,2025-06-25 17:25:10.182,SSVEP_Task1,5,6,20,1,False,3
1,2025-06-25 17:25:19.243,SSVEP_Task1,5,7,20,1,False,3
1,2025-06-25 17:25:28.308,SSVEP_Task1,5,8,20,1,False,3
1,2025-06-25 17:25:37.374,SSVEP_Task1,5,9,20,1,True,3
1,2025-06-25 17:25:46.423,SSVEP_Task1,5,10,20,1,False,3
