UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result
2,2025-06-13 18:02:00.876,Gaze_Task1,7,9,30,1.5,False
2,2025-06-13 18:02:03.494,Gaze_Task1,7,10,30,1.5,True
2,2025-06-13 18:02:06.530,Gaze_Task1,7,11,30,1.5,True
2,2025-06-13 18:02:10.985,Gaze_Task1,8,1,40,2,True
2,2025-06-13 18:02:13.601,Gaze_Task1,8,2,40,2,True
2,2025-06-13 18:02:16.204,Gaze_Task1,8,3,40,2,True
2,2025-06-13 18:02:18.822,Gaze_Task1,8,4,40,2,True
2,2025-06-13 18:02:21.425,Gaze_Task1,8,5,40,2,True
2,2025-06-13 18:02:24.043,Gaze_Task1,8,6,40,2,True
2,2025-06-13 18:02:27.872,Gaze_Task1,8,7,40,2,True
2,2025-06-13 18:02:31.310,Gaze_Task1,8,8,40,2,True
2,2025-06-13 18:02:33.927,Gaze_Task1,8,9,40,2,True
2,2025-06-13 18:02:36.545,Gaze_Task1,8,10,40,2,True
2,2025-06-13 18:02:39.970,Gaze_Task1,8,11,40,2,True
2,2025-06-13 18:02:46.568,Gaze_Task1,9,1,30,1,False
2,2025-06-13 18:02:50.467,Gaze_Task1,9,2,30,1,True
2,2025-06-13 18:02:55.478,Gaze_Task1,9,3,30,1,False
2,2025-06-13 18:02:58.097,Gaze_Task1,9,4,30,1,True
2,2025-06-13 18:03:00.838,Gaze_Task1,9,5,30,1,True
2,2025-06-13 18:03:04.444,Gaze_Task1,9,6,30,1,True
2,2025-06-13 18:03:09.207,Gaze_Task1,9,7,30,1,True
2,2025-06-13 18:03:14.217,Gaze_Task1,9,8,30,1,False
2,2025-06-13 18:03:19.229,Gaze_Task1,9,9,30,1,False
2,2025-06-13 18:03:24.241,Gaze_Task1,9,10,30,1,False
2,2025-06-13 18:03:29.254,Gaze_Task1,9,11,30,1,False
