UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result
1,2025-06-13 17:32:49.451,Gaze_Task1,7,9,30,2,True
1,2025-06-13 17:32:53.185,Gaze_Task1,7,10,30,2,True
1,2025-06-13 17:32:56.088,Gaze_Task1,7,11,30,2,True
1,2025-06-13 17:33:02.558,Gaze_Task1,8,1,20,1,False
1,2025-06-13 17:33:07.571,Gaze_Task1,8,2,20,1,False
1,2025-06-13 17:33:12.585,Gaze_Task1,8,3,20,1,False
1,2025-06-13 17:33:17.598,Gaze_Task1,8,4,20,1,False
1,2025-06-13 17:33:22.611,Gaze_Task1,8,5,20,1,False
1,2025-06-13 17:33:26.181,Gaze_Task1,8,6,20,1,True
1,2025-06-13 17:33:30.943,Gaze_Task1,8,7,20,1,True
1,2025-06-13 17:33:34.415,Gaze_Task1,8,8,20,1,True
1,2025-06-13 17:33:38.413,Gaze_Task1,8,9,20,1,True
1,2025-06-13 17:33:43.427,Gaze_Task1,8,10,20,1,False
1,2025-06-13 17:33:45.858,Gaze_Task1,8,11,20,1,True
1,2025-06-13 17:33:53.285,Gaze_Task1,9,1,40,1,False
1,2025-06-13 17:33:58.300,Gaze_Task1,9,2,40,1,False
1,2025-06-13 17:34:03.299,Gaze_Task1,9,3,40,1,False
1,2025-06-13 17:34:05.922,Gaze_Task1,9,4,40,1,True
1,2025-06-13 17:34:10.922,Gaze_Task1,9,5,40,1,False
1,2025-06-13 17:34:15.935,Gaze_Task1,9,6,40,1,False
1,2025-06-13 17:34:20.948,Gaze_Task1,9,7,40,1,False
1,2025-06-13 17:34:25.960,Gaze_Task1,9,8,40,1,False
1,2025-06-13 17:34:30.974,Gaze_Task1,9,9,40,1,False
1,2025-06-13 17:34:33.723,Gaze_Task1,9,10,40,1,True
1,2025-06-13 17:34:36.348,Gaze_Task1,9,11,40,1,True
