UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result,SelectionTime
1,2025-06-21 02:59:51.798,SSVEP_Task1,1,1,30,2,True,3
1,2025-06-21 03:00:00.397,SSVEP_Task1,1,2,30,2,False,3
1,2025-06-21 03:00:08.880,SSVEP_Task1,1,3,30,2,False,3
1,2025-06-21 03:00:17.479,SSVEP_Task1,1,4,30,2,False,3
1,2025-06-21 03:00:26.165,SSVEP_Task1,1,5,30,2,False,3
1,2025-06-21 03:00:34.699,SSVEP_Task1,1,6,30,2,False,3
1,2025-06-21 03:00:42.885,SSVEP_Task1,1,7,30,2,False,3
1,2025-06-21 03:00:51.019,SSVEP_Task1,1,8,30,2,False,3
1,2025-06-21 03:00:59.172,SSVEP_Task1,1,9,30,2,False,3
1,2025-06-21 03:01:07.306,SSVEP_Task1,1,10,30,2,False,3
1,2025-06-21 03:01:15.442,SSVEP_Task1,1,11,30,2,False,3
1,2025-06-21 03:01:39.838,SSVEP_Task1,2,1,30,2,False,3
1,2025-06-21 03:01:48.002,SSVEP_Task1,2,2,30,2,False,3
1,2025-06-21 03:01:56.166,SSVEP_Task1,2,3,30,2,True,3
1,2025-06-21 03:02:04.315,SSVEP_Task1,2,4,30,2,False,3
1,2025-06-21 03:02:12.480,SSVEP_Task1,2,5,30,2,False,3
1,2025-06-21 03:02:20.645,SSVEP_Task1,2,6,30,2,False,3
1,2025-06-21 03:02:28.809,SSVEP_Task1,2,7,30,2,False,3
1,2025-06-21 03:02:36.957,SSVEP_Task1,2,8,30,2,False,3
1,2025-06-21 03:02:45.139,SSVEP_Task1,2,9,30,2,False,3
1,2025-06-21 03:02:53.287,SSVEP_Task1,2,10,30,2,False,3
1,2025-06-21 03:03:01.451,SSVEP_Task1,2,11,30,2,False,3
1,2025-06-21 03:03:15.231,SSVEP_Task1,1,1,20,1.5,False,3
1,2025-06-21 03:03:23.446,SSVEP_Task1,1,2,20,1.5,False,3
1,2025-06-21 03:03:31.644,SSVEP_Task1,1,3,20,1.5,False,3
1,2025-06-21 03:03:39.841,SSVEP_Task1,1,4,20,1.5,False,3
1,2025-06-21 03:03:48.039,SSVEP_Task1,1,5,20,1.5,False,3
1,2025-06-21 03:03:56.255,SSVEP_Task1,1,6,20,1.5,False,3
1,2025-06-21 03:04:04.452,SSVEP_Task1,1,7,20,1.5,False,3
1,2025-06-21 03:04:12.633,SSVEP_Task1,1,8,20,1.5,False,3
1,2025-06-21 03:04:20.836,SSVEP_Task1,1,9,20,1.5,False,3
1,2025-06-21 03:04:29.013,SSVEP_Task1,1,10,20,1.5,False,3
1,2025-06-21 03:04:37.211,SSVEP_Task1,1,11,20,1.5,False,3
1,2025-06-21 03:05:07.320,SSVEP_Task1,2,1,40,2,False,3
1,2025-06-21 03:05:15.518,SSVEP_Task1,2,2,40,2,False,3
1,2025-06-21 03:05:23.733,SSVEP_Task1,2,3,40,2,False,3
1,2025-06-21 03:05:31.931,SSVEP_Task1,2,4,40,2,False,3
